dataset,method,config,accuracy,kappa_m,n_instances,filename
rialto,NeuralARTE,abc_adwin_dir,0.636790,0.596434,82250,NeuralARTE_rialto_abc_adwin_dir_s123456789_20260405_173453.csv
rialto,NeuralARTE,abc_cnn_adwin_dir,0.647733,0.608592,82250,NeuralARTE_rialto_abc_cnn_adwin_dir_s123456789_20260406_001830.csv
rialto,NeuralARTE,abc_cnn_nodrift,0.717787,0.686430,82250,NeuralARTE_rialto_abc_cnn_nodrift_s123456789_20260417_224604.csv
rialto,NeuralARTE,abc_nodrift,0.681495,0.646106,82250,NeuralARTE_rialto_abc_nodrift_s123456789_20260406_085926.csv
rialto,NeuralARTE,abc_proj_adwin_dir,0.638480,0.598311,82250,NeuralARTE_rialto_abc_proj_adwin_dir_s123456789_20260405_174153.csv
rialto,NeuralARTE,abc_proj_nodrift,0.679854,0.644282,82250,NeuralARTE_rialto_abc_proj_nodrift_s123456789_20260406_154649.csv
rialto,NeuralARTE,current_adwin_dir,0.659052,0.621169,82250,NeuralARTE_rialto_current_adwin_dir_s123456789_20260405_193709.csv
rialto,NeuralARTE,current_nodrift,0.698991,0.665545,82250,NeuralARTE_rialto_current_nodrift_s123456789_20260406_085625.csv
sea_a,NeuralARTE,abc_cnn_nodrift,0.797061,0.493785,1000000,NeuralARTE_sea_a_abc_cnn_nodrift_s123456789_20260418_223727.csv
sea_g,NeuralARTE,abc_cnn_nodrift,0.794527,0.487471,1000000,NeuralARTE_sea_g_abc_cnn_nodrift_s123456789_20260418_223727.csv
shuttle,NeuralARTE,abc_adwin_dir,0.988965,0.948441,57999,NeuralARTE_shuttle_abc_adwin_dir_s123456789_20260405_172252.csv
shuttle,NeuralARTE,abc_cnn_adwin_dir,0.990017,0.953355,57999,NeuralARTE_shuttle_abc_cnn_adwin_dir_s123456789_20260406_000728.csv
shuttle,NeuralARTE,abc_cnn_nodrift,0.990793,0.956981,57999,NeuralARTE_shuttle_abc_cnn_nodrift_s123456789_20260417_222802.csv
shuttle,NeuralARTE,abc_nodrift,0.990776,0.956900,57999,NeuralARTE_shuttle_abc_nodrift_s123456789_20260406_084324.csv
